sentence;url;place;lat;lon;sentiment_score;sentiment
Asylum seekers are filling the city’s shelter system and costs are predicted to hit $64.5 million in the coming months.;http://lfpress.com/opinion/editorials/editorial-money-for-border-crisis-we-prefer-action/wcm/57f1d586-51ef-4e45-b804-d12f5aacfc43;Canada;60.0;-95.0;0.0;neutral
refugee needs/service are met.;https://reliefweb.int/report/united-republic-tanzania/supporting-burundian-refugees;Burundi;-3.5;30.0;0.0;neutral
migrants are pictured in front of the National Reception Center For Asylum Seekers in Tirana, Albania June 6, 2018.;https://www.reuters.com/article/us-europe-migrants-albania/migrant-numbers-leap-on-new-balkan-route-across-albania-idUSKCN1J41KP;Albania;41.0;20.0;-0.1;negative
Asylum seekers are provided with free, fully furnished accommodation while applications are considered.;http://www.dailymail.co.uk/news/article-5820395/Ethiopian-asylum-seeker-38-life-saving-chemotherapy-delayed-six-weeks-immigration.html;United Kingdom;54.0;-2.0;0.4;positive
migrants does not erase our shared humanity with men, women and children who seek our help.;https://www.azcentral.com/story/opinion/op-ed/lindavaldez/2018/06/07/immigrant-families-separation-judge-challenges-trump-zero-tolerance/681835002/;Mexico;23.0;-102.0;0.0;neutral
refugees are displayed in free-standing steel frames on the Green, and as murals on the exterior walls of churches and other buildings.;https://www.publicnewsservice.org/2018-06-08/immigrant-issues/photo-exhibit-highlights-contributions-of-immigrants/a62835-1;United States;38.0;-97.0;-0.163;negative
asylum seekers are kept in jail, even when they have not broken any laws.;https://wdef.com/2018/06/08/analysis-how-the-asylum-process-works-and-what-needs-to-change/;Ecuador;-2.0;-77.5;0.05;positive
migrants are being arrested, detained for extended periods, and deported – not having been charged with any crime.;https://www.counterpunch.org/2018/06/08/passive-protest-and-the-census-citizenship-question/;Mexico;23.0;-102.0;0.0;neutral
asylum seekers were not immediately known.;https://www.independent.ie/world-news/europe/children-among-dead-as-vehicle-crammed-with-asylum-seekers-crashes-in-greece-36989293.html;Turkey;39.0;35.0;0.0;neutral
migrants are core constituencies of our unions and we need to speak up for them,” he said.;http://www.peoplesworld.org/article/as-republicans-resist-labor-tackles-comprehensive-immigration-reform/;United States;38.0;-97.0;0.0;neutral
Refugee Commission is completely overwhelmed, said the Minister of Human Rights, while acts of discrimination and xenophobia in Uruguay are emerging.;http://en.mercopress.com/2018/06/07/the-uruguayan-foreign-ministry-describes-the-number-of-immigrants-arriving-in-the-country-as-never-seen-before;United States;38.0;-97.0;0.05;positive
migrant children are being expelled to Niger as countries across Europe and North Africa seek to curtail irregular migration, the UN children's fund UNICEF said Friday.;http://www.xinhuanet.com/english/2018-06/09/c_137240690.htm;Niger;16.0;8.0;0.0;neutral
migrants who are fleeing unspeakable violence in their home countries, but also inflicts further trauma by separating children from their parents,” said Carper.;https://www.markey.senate.gov/news/press-releases/markey-joins-feinstein-colleagues-in-introducing-legislation-to-halt-separation-of-immigrant-families;Brazil;-10.0;-55.0;0.0;neutral
refugee claimants are directed to go for help with their claim and to arrange for their basic needs until their Immigration and Refugee Board hearing.;https://www.winnipegfreepress.com/local/winnipeg-non-profit-overwhelmed-by-influx-of-asylum-seekers-from-quebec-484910273.html;Canada;60.0;-95.0;0.0;neutral
migrants are pictured in front of the National Reception Center For Asylum Seekers in Tirana, Albania;http://www.dailymail.co.uk/news/article-5821859/People-smugglers-open-new-Balkan-route-migrants-Albania.html;Albania;41.0;20.0;-0.1;negative
refugees are a recurring topic in Lebanon's political debate, but Bassil has taken a hard line and is the only leading politician directly attacking the UN.;http://en.rfi.fr/wire/20180608-lebanon-blocks-unhcr-residency-permits-over-syria-refugee-spat-0;Lebanon;33.83;35.83;-0.048;negative
Refugee Agency, is counting on the generosity of Muslims to allocate their Zakat to refugee families before the end of the Holy Month.;http://www.islamicfinance.de/?q=node/11307;United States;38.0;-97.0;0.0;neutral
refugee policies are in violation of prevailing law.;http://www.spiegel.de/international/germany/angela-merkel-is-no-longer-the-queen-of-europe-a-1211950.html;United States;38.0;-97.0;0.0;neutral
migrants are only expected to stay for about four months until ICE makes more space available.;http://revolutionradio.org/2018/06/08/trump-moves-1600-immigrant-detainees-to-federal-prisons-as-ice-scrambles-to-find-space/;United States;38.0;-97.0;0.2;positive
refugees and are now full citizens, is the legitimate expression of the self-determination of an oppressed indigenous, Middle Eastern people.;http://jewishrefugees.blogspot.com/2018/06/saudi-slams-all-or-nothing-approach-to.html;Germany;51.0;9.0;0.175;positive
migrants are the backbone of the industry but that their contributions are marginalized and ignored.;http://www.wmfe.org/anthony-bourdain-chef-and-television-host-has-died-at-61/87734;United States;38.0;-97.0;0.0;neutral
refugees are a recurring topic in Lebanon's political debate, but Bassil has taken a hard line and been the only leading politician directly attacking the UN.;http://www.france24.com/en/20180608-lebanon-blocks-unhcr-residency-permits-over-syria-refugee-spat;Lebanon;33.83;35.83;-0.048;negative
migrant crisis is already stirring a political backlash.;https://www.ynetnews.com/articles/0,7340,L-5281994,00.html;Iraq;33.0;44.0;0.0;neutral
migrants are treated fairly, with the dignity and respect they deserve, and in a way consistent with how we would expect to be treated.;https://www.realclearscience.com/articles/2018/06/08/ice_misusing_science_to_determine_age_of_immigrants_110668.html;Afghanistan;33.0;65.0;0.475;positive
Asylum seekers do not belong in prisons, nor do people pursuing lawful avenues to stay with their families in the U.S.”;https://www.officer.com/command-hq/corrections/news/21008478/ice-sending-1000-immigrant-detainees-to-victorville-california-prison;Mexico;23.0;-102.0;0.0;neutral
refugee crisis is a huge burden on the Lebanese economy and demographics;https://www.aljazeera.com/news/2018/06/lebanon-freezes-unhcr-staff-permits-syria-refugees-spat-180608193601201.html;Lebanon;33.83;35.83;0.4;positive
