sentence;url;place;lat;lon;sentiment_score;sentiment
migrant children are being routinely and forcibly given a range of psychotropic drugs at U.S. government-funded youth shelters to manage their trauma after being detained and in some cases separated from parents;https://www.nbcnews.com/health/kids-health/u-s-centers-force-migrant-children-take-drugs-lawsuit-n885386?cid=public-rss_20180622;United States;38.0;-97.0;0.5;positive
migrants are being held after their arrest for crossing the US border without permission;http://www.dailymail.co.uk/news/article-5872685/Celebrities-lead-outrage-Melania-Trumps-jacket-detention-center-visit.html;United States;38.0;-97.0;-0.05;negative
migrants are seeking asylum in the US.;https://www.business-standard.com/article/pti-stories/harsimrat-seeks-swaraj-s-help-to-identify-punjabis-in-oregon-detention-facility-118062201032_1.html;United States;38.0;-97.0;0.0;neutral
migrant families are still awaiting details from the Trump administration on how parents and children are to be reunited.;https://www.sltrib.com/news/nation-world/2018/06/22/immigrants-await-word-on-when-they-be-reunited-with-children/;United States;38.0;-97.0;0.0;neutral
migrant policy is in the spotlight after its new government turned away a rescue boat with hundreds of migrants aboard from its ports;http://www.kotaradio.com/2018/06/22/italy-vows-to-expel-far-more-migrants-but-it-wont-be-easy/;Germany;51.0;9.0;0.136;positive
migrant children are shown outside a former Job Corps site that now houses them, Monday, June 18, 2018, in Homestead, Fla.;https://www.reviewjournal.com/opinion/opinion-columns/victor-joecks/democrats-prefer-political-gain-over-ending-family-separation/;United States;38.0;-97.0;0.0;neutral
refugees are extremely vulnerable to exploitation.;https://www.devdiscourse.com/Article/41078-iom-raises-awareness-on-human-trafficking-in-bangladesh-using-rohingya-stories;Bangladesh;24.0;90.0;-0.5;negative
refugees are evacuated from the southern Lebanese village of Shebaa on April 18, 2018, to return to their home village of Beit Jinn near Damascus;https://www.msn.com/en-us/news/world/refugee-returns-to-syria-must-be-coordinated-with-un-merkel/ar-AAz0joM;United States;38.0;-97.0;0.05;positive
migrant families is a decision made in Washington and not in Little Rock.;https://www.fox16.com/news/local-news/lrafb-toured-by-federal-officials-in-immigrant-detainment-facility-search/1254511194;United Kingdom;54.0;-2.0;-0.188;negative
migrant families are still awaiting details from the administration on how parents and children are to be reunited.;https://www.nzherald.co.nz/world/news/article.cfm?c_id=2&objectid=12076266;United States;38.0;-97.0;0.0;neutral
migrant families are currently housed in facilities in Pennsylvania and Texas that have a total capacity of about 3,300 beds, according to ICE.;http://www.visionmp.com/beds-questions-surround-donald-trumps-plan-hold-families-detention/;United States;38.0;-97.0;0.0;neutral
refugee is NOT an “illegal,” undocumented immigrant.;https://www.malaymail.com/s/1644443/regarding-refugee-issues-in-malaysia-mohammed-ab-halim;Malaysia;2.5;112.5;-0.5;negative
refugees are living in low- and middle-income countries like Lebanon, Pakistan and Uganda, Grandi said.;http://www.seychellesnewsagency.com/articles/9334/Record+.+million+people+displaced+worldwide+UN;Pakistan;30.0;70.0;0.0;neutral
migrant children are being held.;https://www.inquisitr.com/4953972/20000-migrant-children-to-be-housed-by-pentagon-on-military-bases/;Mexico;23.0;-102.0;0.0;neutral
asylum seekers which is applied for [illegitimate] purposes;https://abovethelaw.com/2018/06/in-honor-of-world-refugee-day-lets-admit-america-is-breaking-conventions-it-once-held-dear/;Norway;62.0;10.0;0.0;neutral
migrant children is $775 per person per night;https://www.nbcnews.com/storyline/immigration-border-crisis/obama-asks-america-end-family-separation-border-trump-backs-down-n885041?cid=public-rss_20180622;Mexico;23.0;-102.0;0.0;neutral
Refugees are going to be the issue of our time.;http://www.heraldscotland.com/opinion/16307450.Kenny_MacAskill__Migrants_need_compassion__not_Trump__39_s_callous_cruelty/;France;46.0;2.0;0.0;neutral
"refugees is ""very, very small compared to any other European country.""";https://www.nzherald.co.nz/world/news/article.cfm?c_id=2&objectid=12076307;Germany;51.0;9.0;-0.15;negative
Migrants are seen on the deck of the Mission Lifeline rescue boat in the central Mediterranean Sea;https://www.msn.com/en-gb/news/world/italy-asks-malta-to-take-in-seize-migrant-rescue-ship/ar-AAz01V7;Germany;51.0;9.0;0.0;neutral
refugees is at a 70-year high;https://www.refugeecouncil.org.au/media/new-un-refugee-statistics-spur-australia-constructive-action-asia/;Malaysia;2.5;112.5;0.16;positive
migrant crisis is exacerbating the strife in the North African country that is unstable following the ouster and subsequent murder of then-president Muammar Gaddafi in 2011.;http://allafrica.com/stories/201806220197.html;Central African Republic;7.0;21.0;0.0;neutral
migrant workers are among those most vulnerable to forced labor and sex trafficking.;http://www.refworld.org/docid/5b2cb83a119.html;Ireland;53.0;-8.0;-0.1;negative
migrant children are soon sent to be housed on military bases.;https://uk.reuters.com/article/uk-usa-immigration/u-s-military-may-house-immigrant-children-as-trump-policy-beset-by-confusion-idUKKBN1JH219;Mexico;23.0;-102.0;-0.1;negative
migrants are shipped off to long-term holding facilities in the Pacific Northwest.;https://www.aljazeera.com/news/2018/06/occupyicepdx-protesters-occupy-ice-immigration-policy-180622080324188.html;United States;38.0;-97.0;0.0;neutral
migrants are escorted back across the border by US Customs and Border Patrol agents (David J Phillip/AP);https://www.irishexaminer.com/breakingnews/world/confusion-abounds-on-mexican-border-after-trump-u-turn-on-migrant-families-850615.html;Mexico;23.0;-102.0;0.0;neutral
refugee is recreating his 'American Dream' for the next generation;https://www.usatoday.com/story/news/humankind/2018/06/22/syrian-refugees-path-american-dream/722344002/;United States;38.0;-97.0;0.0;neutral
refugees is chronically underfunded.;http://english.sakshi.com/editors-picks/2018/06/22/angelina-jolie-on-global-refugee-crisis;Mexico;23.0;-102.0;0.0;neutral
"refugees are the passive recipients,"" said Sara by phone from New York where she is based, in addition to Lebanon.";http://allafrica.com/stories/201806220447.html;Lebanon;33.83;35.83;0.136;positive
refugees are reportedly conducting ‘push-backs’ by preventing boats carrying Rohingya refugees from landing on their shores.;https://www.huffingtonpost.co.uk/entry/the-aquarius-and-its-historic-precedents-rescue-at_uk_5b2a3bd1e4b061fc68707f94;Norway;62.0;10.0;0.0;neutral
migrants are reported to have drowned off Libya in two days, bringing to at least 1,000 the number to die this year on the main migratory route linking Africa and Europe, the UN has said.;http://www.greaterkashmir.com/news/world/more-than-1-000-migrants-drowned-in-mediterranean-in-2018-un/288553.html;Central African Republic;7.0;21.0;-0.078;negative
migrants we are receiving.;http://nationalpost.com/opinion/np-view-canadas-no-better-than-america-at-dealing-with-immigrants-just-luckier;Canada;60.0;-95.0;0.0;neutral
