sentence;url;place;lat;lon;sentiment_score;sentiment
refugees are doing so voluntarily.;https://sg.news.yahoo.com/refugees-begin-return-syria-lebanon-border-town-092034345.html;Lebanon;33.83;35.83;0.0;neutral
migrant arrives is responsible for processing their asylum request.;https://capx.co/could-refugee-cities-be-the-answer-to-the-migrant-crisis/;Gibraltar;36.18;-5.37;0.2;positive
migrants are illegally employed in southern agriculture at very low wages for long hours in appalling conditions.;https://weeklyworker.co.uk/worker/1209/age-of-aquarius/;Malta;35.83;14.58;-0.18;negative
migrant families are kept together their immigration cases are consolidated;https://www.caller.com/story/news/texasregion/2018/06/28/data-hundreds-migrants-have-been-deported-without-children/741704002/;Mexico;23.0;-102.0;0.0;neutral
migrant children are having to appear in court for deportation proceedings.;https://www.elle.com/culture/career-politics/a21985732/immigrant-children-deportation-proceedings/;United States;38.0;-97.0;0.0;neutral
migrants who are deemed to be eligible for asylum.;http://accesswdun.com/article/2018/6/686618;Norway;62.0;10.0;0.0;neutral
refugees are being screened by the U.N., not exactly a US-friendly syndicate.;http://www.independentsentinel.com/rev-franklin-graham-stop-immigration-from-terror-nations/;Switzerland;47.0;8.0;-0.125;negative
asylum seekers is a human rights violation — full stop.”;http://www.philly.com/philly/hp/news_top/berks-family-detention-center-model-jailed-immigrants-trump-children-parents-separated-20180628.html;Honduras;15.0;-86.5;0.175;positive
refugees are registered at the reception center in Imvepi before being transferred to another settlement, such as the Omugo zone extension in Rhino Camp.;https://reliefweb.int/report/uganda/uganda-refugee-response-monitoring-settlement-fact-sheet-imvepi-january-2018;Uganda;1.0;32.0;-0.05;negative
"migrants are released into society, ""nobody ever comes back"" for their court dates.";http://www.wbur.org/npr/624294618/military-bases-to-start-building-tents-after-july-4-to-house-migrant-families;United States;38.0;-97.0;0.0;neutral
Asylum seekers are required to cross at a legal crossing.;http://thepinetree.net/index.php?module=announce&ANN_user_op=view&ANN_id=57979;United States;38.0;-97.0;0.1;positive
"migrants who are on board Lifeline in the hope that other European countries do the same,"" he said.";http://news.trust.org/item/20180626175640-7ar4n;Germany;51.0;9.0;-0.042;negative
refugees are going without adequate sanitation and safe water.;http://www.care.org/newsroom/press/press-releases/funding-gaps-threaten-critical-aid-for-refugees-in-uganda-says-care;United States;38.0;-97.0;0.417;positive
migrant children are not accounted for with the same efficiency and accuracy as property.;https://www.thenation.com/article/federal-judge-orders-trump-administration-reunite-migrant-children-parents/;United States;38.0;-97.0;0.0;neutral
migrant parties are gaining strength.;http://www.freemalaysiatoday.com/category/world/2018/06/28/european-leaders-back-merkel-on-migration-before-summit/;Germany;51.0;9.0;0.0;neutral
migrants is 30 days, Verkamp said.;https://www.arkansas-catholic.org/news/article/5665/Immigration-staffers-hear-asylum-seekers-stories-in-Mexico;Mexico;23.0;-102.0;0.0;neutral
refugees are coming from DRC Congo and South Sudan.;https://24tanzania.com/uganda-overwhelmed-as-refugees-hit-317000/;South Sudan;15.0;30.0;0.0;neutral
refugee resettlement is part of a larger pinch on all immigration to the United States,” Timms said.;http://lansingcitypulse.com/article-16135-Creak-of-a-closing-door.html;United States;38.0;-97.0;0.0;neutral
migrants is becoming a hot topic at an EU summit in Brussels that is focusing on EU migration policy.;http://www.wfmz.com/news/ap-world-news/eu-lawmakers-sail-on-observer-mission-with-rescue-ship/760230652;Belgium;50.83;4.0;0.35;positive
migrants not as concerned that Canada has lost 4,000 Indigenous women.”;https://www.chatelaine.com/opinion/trump-zero-tolerance-canada/;Canada;60.0;-95.0;0.0;neutral
migrants would not be safe in Libya, where they have faced abuse in holding centres, and that returning them there would breach international refugee law.;http://www.france24.com/en/20180628-malta-says-migrants-board-lifeline-rescue-ship-mainly-sudanese;Germany;51.0;9.0;0.25;positive
refugees is particularly repugnant.;https://www.5tjt.com/letters-to-the-editor-building-a-political-wall/;Dominican Republic;19.0;-70.67;0.167;positive
refugees are children.;https://reliefweb.int/job/2673924/program-coordinator-mf-lebanon;Lebanon;33.83;35.83;0.0;neutral
migrants who are especially vulnerable to trafficking and exploitation.;http://www.ktvz.com/news/politics/us-human-trafficking-report-highlights-dangers-of-institutionalizing-children/760413221;Japan;36.0;138.0;-1.0;negative
migrants are held in detention or assigned to a resettlement agency to find housing and employment while waiting to see an immigration judge — are already difficult for asylum-seekers without the added element of family separations;https://www.wxxv25.com/2018/06/28/they-came-seeking-asylum-now-they-want-their-children-back/;Australia;-27.0;133.0;-0.5;negative
refugees are registered with the UNHCR in Lebanon.;http://www.xinhuanet.com/english/2018-06/28/c_137287374.htm;Lebanon;33.83;35.83;0.0;neutral
refugee procedures are overwhelmed, 5,661 have been recognized as refugees thus far.;http://humanitariannews.org/20180628/venezuela-bolivarian-republic-unhcr-venezuela-situation-june-2018;Mexico;23.0;-102.0;0.1;positive
migrant families are trying to escape violence, trauma, and adversity in search of a healthier, more secure life,” said Markey.;http://www.reverejournal.com/2018/06/28/senator-markey-ebnhc-administrators-discuss-health-impacts-of-separating-children-from-familes-at-the-border/;Mexico;23.0;-102.0;0.45;positive
refugees are strained because many refugees share the same services with natives.;http://allafrica.com/stories/201806280111.html;South Sudan;15.0;30.0;0.25;positive
asylum seeker is ever finite, vulnerable to mutability and abridgment.;https://www.counterpunch.org/2018/06/28/the-next-step-the-campaign-for-julian-assange/;Germany;51.0;9.0;-0.5;negative
migrant families are kept together;https://www.usatoday.com/story/news/nation-now/2018/06/28/migrant-parents-deported-without-children/743294002/;Mexico;23.0;-102.0;0.0;neutral
refugees are being sheltered in a primary school, churches and local communities in nearby areas.;http://www.china.org.cn/world/Off_the_Wire/2018-06/28/content_53793510.htm;South Sudan;15.0;30.0;0.2;positive
migrants is back to its pre-2015 level, even as the politics of migration continue to shake the Continent.;https://nationalpost.com/news/world/migration-to-europe-is-down-sharply-but-far-right-parties-are-creating-a-very-different-impression;Belgium;50.83;4.0;0.0;neutral
"refugees that are allowed into Canada,"" Gehrels said.";https://www.cbc.ca/news/canada/prince-edward-island/pei-charlottetown-rally-immigration-us-1.4727434;Canada;60.0;-95.0;0.0;neutral
migrant children are reunited with their parents;https://www.caller.com/story/news/texasregion/2018/06/28/866-estamos-texas-nonprofit-launches-hotline-help-reunite-families/743072002/;United States;38.0;-97.0;0.0;neutral
refugees are known to have fled the country since a political crisis broke out in April 2015.;https://eastafricamonitor.com/un-accuses-burundi-government-of-mass-human-rights-violations/;Burundi;-3.5;30.0;0.0;neutral
asylum seeker has not received a final decision.;https://www.irishexaminer.com/ireland/up-to-3000-asylum-seekers-prepare-to-join-the-workforce-472433.html;Myanmar;22.0;98.0;0.0;neutral
migrants are driving up the crime rate.;http://www.660news.com/2018/06/27/editorial-roundup-excerpts-from-recent-editorials-43/;Chad;15.0;19.0;0.0;neutral
migrants is an issue “all must address.”;https://nationalpost.com/pmn/news-pmn/pope-making-new-cardinals-hears-iraqi-tell-of-martyrs;Madagascar;-20.0;47.0;0.0;neutral
refugees are currently living in makeshift camps scattered across Cox's Bazar.;https://www.thedailystar.net/letters/avoiding-protracted-rohingya-crisis-1596283;Spain;40.0;-4.0;0.0;neutral
migrant children are seen at a tent city in Tornillo, Texas, June 18.;https://www.ncronline.org/news/justice/defendants-diapers-immigrant-toddlers-ordered-appear-court-alone;United States;38.0;-97.0;0.0;neutral
migrants they are trying to find in U.S. government custody.;https://www.fox13memphis.com/news/the-latest-ethel-kennedy-joining-protest-hunger-strike/778151204;United States;38.0;-97.0;0.0;neutral
refugee status is for those who are currently outside the United States.;http://amsterdamnews.com/news/2018/jun/28/real-process-applying-refugee-status-and-asylum-un/;United States;38.0;-97.0;0.0;neutral
refugees are kept indefinitely where they are subjected to abuse and torture,”tweeted Matthew Kolken, an immigration attorney.;https://www.businessinsider.com.au/michael-avenatti-pushes-back-on-immigration-criticism-2018-6;United States;38.0;-97.0;0.0;neutral
migrants are concentrated, or at their work places.;http://northafricapost.com/24317-hrw-slams-algeria-again-for-inhumane-treatment-of-migrants.html;Niger;16.0;8.0;0.0;neutral
migrant detainees are held in facilities owned by private companies, according to the National Immigrant Justice Center.;https://www.sltrib.com/news/2018/06/28/prison-operators-could/;United States;38.0;-97.0;-0.05;negative
migrants actually are less criminally inclined that we native-born.;https://www.arktimes.com/arkansas/constitution-on-hold/Content?oid=19614712;United States;38.0;-97.0;-0.189;negative
