sentence;url;place;lat;lon;sentiment_score;sentiment
refugees are kidnapped in NTCA countries – Guatemala, Honduras and El Salvador – every year, according official sources (CNDH).;https://reliefweb.int/report/mexico/mexico-unsafe-country-thousands-refugees-fleeing-violence-central-america;El Salvador;13.83;-88.92;0.0;neutral
"refugees are playing in European societies,"" according to S&D.";https://www.efe.com/efe/english/life/syrian-dancer-performs-outside-european-parliament-to-mark-world-refugee-day/50000263-3655938;United States;38.0;-97.0;0.0;neutral
migrants are responsive to incentives established by receiving countries, not just conditions at home, and often (just ask Angela Merkel) the more you welcome the more will attempt to come.;http://www.santacruzsentinel.com/opinion/20180619/ross-douthat-the-lesser-cruelty-on-immigration;United States;38.0;-97.0;0.6;positive
migrant children are being separated from their families and detained in tents near the Mexican border at Tornillo, Texas.;https://www.christiantoday.com/article/methodists-round-on-jeff-sessions-accusing-him-of-breaching-church-teaching/129765.htm;United States;38.0;-97.0;0.05;positive
refugees are welcome here and not only to give to and help them, but to recognize the contribution they make to our society, making us more compassionate, open and understanding.”;https://www.reuters.com/article/us-britain-refugees-syria/leaving-war-behind-syrian-refugee-families-embrace-new-life-in-britain-idUSKBN1JF3AX;Syria;35.0;38.0;0.325;positive
refugees are hosted in low- and middle-income countries, outside humanitarian camps, and confronted daily with challenges in accessing needed health care.;http://blogs.worldbank.org/health/financing-health-services-refugee-populations-how-pay-bill;United States;38.0;-97.0;0.0;neutral
"migrants are being forced to wait for days or longer in Mexico.""";https://townhall.com/columnists/anncoulter/2018/06/19/google-internet-media-n2492449;Mexico;23.0;-102.0;-0.3;negative
refugee camps are fenced in.;https://grapevine.is/news/2018/06/20/icelandic-government-to-meet-over-us-border-policy/;Luxembourg;49.75;6.17;0.0;neutral
migrant hearings are known as “Operation Streamline,” a process that began with President George W. Bush and is ramping up under President Donald Trump.;http://www.abajournal.com/news/article/immigrants_entering_the_country_illegally_experience_rapid_fire_justice_in;United States;38.0;-97.0;0.0;neutral
migrants are seeking asylum in the US.;http://www.thehansindia.com/posts/index/International/2018-06-20/52-Indian-immigrants-detained-in-US-Democrat-lawmaker-says-Sikhs-facing-religious-prosecution-in-India/390821;Honduras;15.0;-86.5;0.0;neutral
refugees are yet to join the labor market, undergoing job training or language classes.;https://www.i24news.tv/en/news/international/177598-180620-united-states-top-asylum-seekers-destination-in-oecd-in-2017;Malta;35.83;14.58;0.0;neutral
migrant parents are being detained.;https://uk.reuters.com/article/uk-usa-immigration-reunification-explain/hurdles-facing-parents-and-children-separated-at-u-s-border-idUKKBN1JF39S;United States;38.0;-97.0;0.0;neutral
asylum seekers are made up of people who have a legal right to reside in the host country while their application is processed, the host country will consider them to be residents only if their asylum application is granted.;https://phys.org/news/2018-06-asylum-seekers-burden-european-economies.html;Norway;62.0;10.0;0.162;positive
migrant children are led by staff in single file between tents at a detention facility next to the Mexican border in Tornillo, Tex.;http://www.challengehebdo.com/world/report-even-as-trump-ends-family-separation-policy-at-u-s-border-health-of-detained-kids-at-risk-2310-2018/;United States;38.0;-97.0;-0.024;negative
refugees and is in Scotland for the first time.;https://www.bbc.co.uk/news/av/uk-scotland-44531416/home-is-made-of-many-simple-things;Canada;60.0;-95.0;0.25;positive
refugees are from places that were previously unreachable with the gospel.;https://www.imb.org/2018/06/20/people-just-like-you/;Germany;51.0;9.0;-0.167;negative
migrants are kept, he said.;https://www.stevenspointjournal.com/story/news/politics/2018/06/19/fact-check-border-detention-children/716016002/;Mexico;23.0;-102.0;0.0;neutral
