sentence;url;place;lat;lon;sentiment_score;sentiment
"migrant children are not accounted for with the same efficiency and accuracy as property,"" he wrote.";https://www.channelnewsasia.com/news/world/us-says-immigrants-ruling-shows-need-for-legislation-10477048;Mexico;23.0;-102.0;0.0;neutral
migrants are less likely to commit crimes.;https://www.businessinsider.in/trumps-brutal-immigration-crackdown-is-tearing-families-apart-on-the-basis-of-3-false-premises/articleshow/64770097.cms;United States;38.0;-97.0;-0.083;negative
migrants not just here but in other lands,” he said.;http://fromthetrenchesworldreport.com/volunteer-group-aids-migrants-fleeing-to-canada/228908;United States;38.0;-97.0;-0.125;negative
refugees are not the only ones with problems here.;http://allafrica.com/stories/201806270601.html;Germany;51.0;9.0;0.0;neutral
refugees who are from my own generation and above the age of 50, I often hear the stories of men and women who have lived their entire lives under occupation.;https://reliefweb.int/report/occupied-palestinian-territory/statement-unrwa-commissioner-general-advisory-commission-june;Norway;62.0;10.0;0.2;positive
refugees are sheltering in southeastern Bangladesh, according to the latest estimates from U.N. and humanitarian relief agencies.;http://bangladeshchronicle.net/2018/06/un-bangladesh-launch-joint-effort-to-verify-rohingya-refugee-identities/;Myanmar;22.0;98.0;0.5;positive
migrant facilities is that it considers those who do labor “volunteers” rather than employees.;https://www.sacurrent.com/the-daily/archives/2018/06/27/advocates-raise-questions-about-access-to-legal-help-food-and-health-care-at-ices-detention-site-near-san-antonio;United Kingdom;54.0;-2.0;0.0;neutral
migrant children are being held.;http://katu.com/news/nation-world/judge-separated-families-must-be-reunited-within-30-days;United States;38.0;-97.0;0.0;neutral
refugees has not.;https://www.msn.com/en-ca/news/world/germanys-texas-claims-to-be-easygoing-but-its-politics-pose-a-serious-challenge-for-merkel/ar-AAzdNae;Germany;51.0;9.0;0.0;neutral
migrants are bad, that they’re criminals and rapists and all that — the focus is totally off mission.”;https://www.texasobserver.org/ice-hsi-letter-kirstjen-nielsen-criminal-civil-deportation-zero-tolerance/;United States;38.0;-97.0;-0.35;negative
migrant children is an ongoing responsibility at the shelter.;https://www.star-telegram.com/news/state/texas/article213915744.html;United States;38.0;-97.0;0.0;neutral
migrants are in the process of applying to the U.S. for resettlement.;https://www.huffingtonpost.com/entry/keeping-kids-in-detention-with-their-parents-is-a-recipe-for-abuse-just-ask-australia_us_5b33ae86e4b0cb56051e42f7;Nauru;-0.53;166.92;0.0;neutral
refugees and are now full citizens, is the legitimate expression of the self-determination of an oppressed indigenous, Middle Eastern people.;http://jewishrefugees.blogspot.com/2018/06/jewish-life-in-turkey-is-slowly-being.html;Israel;31.5;34.75;0.175;positive
refugees are being given have the logo of both the UNHCR and the Bangladesh government;http://www.businessinsider.com/r-un-starts-registering-rohingya-refugees-in-bangladesh-2018-6;Bangladesh;24.0;90.0;0.0;neutral
migrants — not illegal immigration.;https://signalscv.com/2018/06/duane-mooring-left-right-really-arent-as-far-apart-as-you-think/;Canada;60.0;-95.0;0.25;positive
"refugees do not see a solution to their plight on the horizon,"" he said at a briefing before the conference.";https://www.thenational.ae/world/mena/cash-strapped-unrwa-talks-funding-at-session-urges-more-pledges-1.744822;United States;38.0;-97.0;0.0;neutral
asylum seekers are sleeping in press-ganged hotels and college dorms.;http://www.thesudburystar.com/2018/06/27/toronto-faces-refugee-shelter-crisis;United States;38.0;-97.0;0.0;neutral
migrants are deluging America at the border.;https://www.theatlantic.com/politics/archive/2018/06/democrats-immigration-not-a-crisis/563855/;United States;38.0;-97.0;0.0;neutral
migrants are just a fraction of the 1.64 million migrants who were caught crossing in 2000, the peak year for migration from Mexico.;https://www.pressherald.com/2018/06/27/our-view-trumped-up-border-crisis-led-to-child-separations/;Mexico;23.0;-102.0;0.0;neutral
migrants who are deemed eligible for refugee status.;https://infotel.ca/newsitem/eu-europe-migrants-the-latest/cp822515921;Malta;35.83;14.58;0.0;neutral
refugees is competing for a smaller number of resettlement spots, the U.N. refugee agency said in a report this week.;http://www.wbal.com/article/321863/158/supreme-court-nod-to-travel-ban-crushes-syria-refugees-hope;Norway;62.0;10.0;0.0;neutral
refugees are taking part in a basketball masterclass with BC Khimki, as part of events in Moscow.;http://www.unhcr.org/en-us/news/stories/2018/6/5b2789aa4/live-blog-world-refugee-day-events-span-globe-displacement-hits-record.html;Russian Federation;60.0;100.0;0.0;neutral
migrants are held indefinitely, but often those who get out are seen being brought back after they are picked up by the Libyan coastguard.;http://news.trust.org/item/20180627180054-jp2hc;Germany;51.0;9.0;0.0;neutral
migrants would not be safe in Libya, where they have faced abuse and rape in holding centres, and that returning them there would breach international refugee law.;http://www.digitaljournal.com/news/world/german-charity-lifeline-denies-migrant-rescue-was-illegal/article/525692;Germany;51.0;9.0;0.25;positive
migrants are coming into the U.S. legally.Here are some of the most common paths to entering the country legally and possibly obtaining permanent residency and eventually citizenship.The largest group to enter the U.S. by far comes by way of family-based immigration .;http://abc7news.com/society/six-ways-to-legally-enter-the-us/3658889/;United States;38.0;-97.0;0.1;positive
migrant children are in the Hudson Valley.;http://westchester.news12.com/story/38524217/immigration-attorney-reuniting-families-separated-at-border-not-easy-process;United States;38.0;-97.0;0.0;neutral
migrants who are being arrested at our southwestern border are;http://www.commonsnews.org/site/site05/story.php?articleno=28523&page=1;United States;38.0;-97.0;0.0;neutral
migrants could not be immediately confirmed, but they were most likely Syrians, the officials said.;https://www.thepeninsulaqatar.com/article/27/06/2018/Three-migrants-killed,-seven-injured-in-northern-Greece-car-crash;Greece;39.0;22.0;0.3;positive
refugees are in developing countries and 40 million of all displaced people are not able to get to an international border.;https://www.middle-east-online.com/en/global-migration-american-dream-nightmare;Italy;42.83;12.83;-0.125;negative
migrant children are not accounted for with the same efficiency and accuracy as property.”;http://www.eastcountymagazine.org/san-diego-judge-orders-trump-administration-reunite-immigrant-families;United States;38.0;-97.0;0.0;neutral
refugees are registered with the United Nations High Commissioner for Refugees (UNHCR) in Lebanon.;http://www.xinhuanet.com/english/2018-06/27/c_137284727.htm;Lebanon;33.83;35.83;0.16;positive
refugees that are being given have the logo of both the UNHCR and the Bangladesh government;http://www.dvb.no/news/un-starts-registering-rohingya-refugees-in-bangladesh/81144;Bangladesh;24.0;90.0;0.0;neutral
refugees is lost on many, and I wanted to highlight it here.;https://ricochet.com/530249/day-three-from-south-korea-briefings-and-the-artist-sun-mu/;North Korea;40.0;127.0;0.5;positive
migrant children are not accounted for with the same efficiency and accuracy as property.;https://www.standard.co.uk/news/world/judge-orders-trump-administration-to-reunite-families-separated-at-border-within-30-days-a3873146.html;United States;38.0;-97.0;0.0;neutral
refugee kid is sent to a country, and he knows nobody and is lucky he is sent to nice people who look after him.;http://www.crossrhythms.co.uk/articles/life/A_Report_On_Prince_Williams_Historic_Visit_To_Israel_And_The_Palestinian_Territories/63043/p1/;Haiti;19.0;-72.42;0.467;positive
refugees globally are women and children including those in Uganda.;http://www.monitor.co.ug/OpEd/Commentary/Let-us-keep-spirit-World-Refugee-Day-alive/689364-4634954-3mkmty/;Burundi;-3.5;30.0;0.0;neutral
"migrant children are not accounted for with the same efficiency and accuracy as property,"" Sabraw wrote.";http://6abc.com/judge-rules-children-parents-separated-at-border-must-be-reunited-within-30-days/3660931/;United States;38.0;-97.0;0.0;neutral
refugees are living in those temporary spaces and are relying on the city for shelter beyond the summer.;https://www.thestar.com/news/city_hall/2018/06/26/more-than-half-of-refugee-claimants-in-torontos-temporary-shelters-are-children-new-figures-show.html;Canada;60.0;-95.0;0.0;neutral
"migrants not to ""risk the lives of your children"" by trying to enter the US illegally.";http://www.observerbd.com/details.php?id=144856;United States;38.0;-97.0;-0.5;negative
migrants — not one that throws the undocumented out if they dare to speak up after being victimized.;http://www.philly.com/philly/hp/news_top/undocumented-domestic-abuse-philadelphia-da-larry-krasner-ice-hias-jenice-armstrong-20180627.html;United States;38.0;-97.0;0.0;neutral
migrants are more likely to commit crimes and to be national security risks, using unrepresentative anecdotes and amorphous fears to justify its policy.;http://www.ibtimes.com/we-are-only-following-law-doesnt-explain-immigration-policy-during-nazi-era-or-now-2695462;Cuba;21.5;-80.0;0.25;positive
refugees is a multi-faceted challenge for us;https://www.thedailystar.net/top-news/manhattan-concert-conveys-message-on-rohingyas-assistance-1596169;Bangladesh;24.0;90.0;0.0;neutral
refugees are not considered “family members.”;https://globalnews.ca/news/4295200/canada-separates-child-refugees-from-parents/;China;35.0;105.0;0.0;neutral
asylum seekers are few indeed.;https://international.la-croix.com/news/trump-s-lies-about-immigration-fan-the-flames-of-division-in-germany/7918;Germany;51.0;9.0;-0.2;negative
migrants who are nervous and haven’t been brought up around water to come near the water, let alone walk into a lake,” she said.;https://www.thecourier.com.au/story/5493244/ballarat-migrants-and-refugees-dive-in-to-water-safety-program/;China;35.0;105.0;0.1;positive
migrants they are trying to find in U.S. government custody.;https://nationalpost.com/pmn/news-pmn/the-latest-ethel-kennedy-joining-protest-hunger-strike;United States;38.0;-97.0;0.0;neutral
refugees themselves are attending UNHCR's Annual Tripartite Consultations on Resettlement in Geneva this week, which is the principle forum on resettlement issues globally.;http://www.ecns.cn/news/politics/2018-06-27/detail-ifyvrptq6356287.shtml;Switzerland;47.0;8.0;0.0;neutral
