sentence;url;place;lat;lon;sentiment_score;sentiment
Asylum seekers are filling the city’s shelter system and costs are predicted to hit $64.5 million in the coming months.;http://torontosun.com/opinion/editorials/editorial-money-for-border-crisis-we-prefer-action;Canada;60.0;-95.0;0.0;neutral
refugee repatriation is still a long way off.;http://www.digitaljournal.com/news/world/un-signs-myanmar-access-deal-amid-rohingya-repatriation-fears/article/523992;Bangladesh;24.0;90.0;-0.05;negative
refugee who is now a University of Toronto student, has garnered 160,000 signatures.;http://www.rcinet.ca/en/2018/06/05/humanitarian-ngos-call-on-canada-to-invest-500m-in-education-for-girls/;Canada;60.0;-95.0;0.0;neutral
refugees are bypassing asylum in the U.S., and are heading to Canada.;https://efficientgov.com/blog/2018/06/06/6-things-know-asylum-united-states/;Canada;60.0;-95.0;0.0;neutral
refugee camps) are receiving a combination of food and cash assistance.;https://reliefweb.int/report/ethiopia/wfp-ethiopia-country-brief-april-2018;Central African Republic;7.0;21.0;0.0;neutral
asylum seeker has not spoken to her kids, aged 22, 21, 19 and 14, since she left Cameroon.;https://www.gaystarnews.com/article/uk-told-asylum-seeker-raped-by-police-she-cant-be-gay-as-she-has-kids/;Cameroon;6.0;12.0;-0.05;negative
migrants who are thinking about making the trip across the U.S.-Mexico border.;http://immigrationimpact.com/2018/06/06/trump-zero-tolerance-policy-parents/;Mexico;23.0;-102.0;0.0;neutral
migrants are routinely abused by smugglers and other criminals, including physical and sexual abuse, torture for ransom, arbitrary detention for long periods of time, forced labour and even death.;https://reliefweb.int/report/yemen/iom-saddened-46-migrants-drown-yemen-s-shores-16-still-missing;Yemen;15.0;48.0;-0.013;negative
refugees is complicated by chronic stress of migration, lack of resources, and difficulty navigating the complicated U.S. medical system.;http://www.jerusalemonline.com/news/world-news/around-the-globe/syrian-refugees-in-america-the-forgotten-psychological-wounds-of-the-stress-of-migration-36075;Iraq;33.0;44.0;-0.333;negative
refugees is also suspected to have begun around last August and close to 700,000 have been forced to flee to Bangladesh.;http://www.christianmessenger.in/burmese-military-cleansing-minority-christian-kachin-people/;Bangladesh;24.0;90.0;-0.15;negative
"asylum seekers should not be criminally prosecuted for entering without documentation because those fleeing persecution often do not have time/ability to get proper authorization before they are forced to flee.""";http://www.politifact.com/truth-o-meter/article/2018/jun/06/what-you-need-know-about-trump-administrations-zer/;United States;38.0;-97.0;-0.233;negative
migrant children are housed, so of course the facility called the cops.;https://wonkette.com/634871/sen-jeff-merkley-wanted-to-see-the-immigrant-kids-so-white-house-says-that-he-loves-rape;United States;38.0;-97.0;0.0;neutral
refugees who are forced to flee their homes, he lived for the South Sudanese families whose lives have been ravaged by strife.;https://www.onlinenigeria.com/site/stories/health/545665-a-colossus-lives-on-remembering-prof-babatunde-osotimehin-nigerias-former-minister-of-health-and-late-unfpa-executive-director.html;Nigeria;10.0;8.0;-0.3;negative
refugees is already extensive and secure, often pivoting to argue that the country has not done enough to support those in the greatest need around the world.;http://www.sentinelandenterprise.com/news/ci_31926843/disagreements-emerge-over-trade-trumps-diplomacy-3rd-district;China;35.0;105.0;0.35;positive
refugees who are granted asylum should be distributed throughout Europe;https://www.thesun.co.uk/news/6458790/italy-pm-giuseppe-conte-russia-alliance-migrants-eu/;Germany;51.0;9.0;0.0;neutral
refugees are granted parole after a federal judge finds their claims that they fled China because of the country's one-child policy are credible.;https://www.ydr.com/story/news/history/blogs/york-town-square/2018/06/06/york-county-examples-profiles-courage/666500002/;China;35.0;105.0;0.4;positive
refugee response are delivering humanitarian services to a population differentiated by ‘age, gender and disability’.;https://reliefweb.int/report/bangladesh/gender-humanitarian-action-brief-no-4-rohingya-refugee-crisis-response-cox-s-bazar;Bangladesh;24.0;90.0;0.0;neutral
refugees are children,” says Nia.;https://www.yahoo.com/news/generation-z-opens-refugee-crisis-090037508.html;United States;38.0;-97.0;0.0;neutral
"refugee communities are now perfectly integrated with host communities,"" Angemi said.";https://www.voanews.com/a/un-ugandan-refugees-host-communities-equally-deprived/4427055.html;Uganda;1.0;32.0;1.0;positive
refugees are guaranteed under international law, as well as an end to Israel’s illegal and crippling blockade of Gaza.;http://imemc.org/article/cousin-of-palestinian-medic-killed-by-israel-speaks-out/;Israel;31.5;34.75;-0.25;negative
refugees are barred from working and face routine harassment.;https://psmag.com/news/meet-the-syrian-man-stranded-at-the-kuala-lumpur-airport-for-ninety-one-days-and-counting;Ecuador;-2.0;-77.5;0.0;neutral
refugees are being affected.;https://www.independent.co.uk/news/uk/home-news/homeless-people-night-shelters-refugees-home-office-policies-sajid-javid-a8368806.html;United Kingdom;54.0;-2.0;0.0;neutral
migrants are subjected to.;https://www.nbcnews.com/think/opinion/fighting-dehumanizing-u-s-immigration-system-lee-gelernt-podcast-transcript-ncna880021?cid=public-rss_20180606;United States;38.0;-97.0;0.0;neutral
asylum seekers is governed by a U.N. protocol.;http://www.abajournal.com/news/article/un_human_rights_office_trump_administration_stop_immigrant;Switzerland;47.0;8.0;0.0;neutral
migrants are mirror the election promises of Matteo Salvini's nationalist League.;https://sg.news.yahoo.com/italy-populists-one-step-power-final-vote-000531268.html;Tunisia;34.0;9.0;0.0;neutral
migrants but not allowing the immigrants to speak, so my idea is to listen ,” she said during a phone interview from her home in Mexico.;http://www.laprensatoledo.com/Stories/2018/060818/cisneros.htm;Mexico;23.0;-102.0;0.0;neutral
refugees that are flocking into its borders, and provides humanitarian access and protection to those seeking asylum on its territory.;http://allafrica.com/stories/201806060291.html;Germany;51.0;9.0;0.0;neutral
refugee camps is a direct consequence of the delay in finding a lasting solution to the conflict in Western Sahara.;http://allafrica.com/stories/201806060769.html;South Africa;-29.0;24.0;0.033;positive
refugees are becoming more hostile, with increasing calls for the return of refugees back to Syria.;https://www.saferworld.org.uk/en-stories-of-change/solidarity-and-exile-in-lebanon-syrian-refugees-and-their-hosts-1;Lebanon;33.83;35.83;0.317;positive
Refugee Resettlement is in charge of underage illegal immigrants once they cross into the country;https://abcnews.go.com/Politics/sessions-defends-policy-separating-children-undocumented-parents-border/story?id=55691284;United States;38.0;-97.0;-0.25;negative
refugees themselves are the collateral damage.;https://www.greenleft.org.au/content/union-support-shorten-refugees-road-defeat;China;35.0;105.0;0.0;neutral
migrant children are moved to detention facilities similar the one Merkley was barred from entering.;http://www.msn.com/en-us/news/politics/merkley-says-images-of-migrant-processing-center-are-seared-in-his-mind/ar-AAygB8v;United States;38.0;-97.0;0.0;neutral
refugees are still searching for a safe place to settle.;https://www.cnet.com/uk/news/facebook-reportedly-gave-huawei-special-access-to-user-data/;United States;38.0;-97.0;0.5;positive
migrants are still treated by the French state as criminals.;https://www.middle-east-online.com/en/can-heroic-act-paris-%E2%80%98spider-man%E2%80%99-change-perception-migrants;French Southern Territories;-43.0;67.0;0.0;neutral
migrants are generally looked upon with wariness;https://blogs.timesofindia.indiatimes.com/jugglebandhi/nowhere-people-no-matter-where-you-are-its-likely-youre-from-somewhere-else/;Mexico;23.0;-102.0;0.05;positive
migrants are necessary aspects of a democratic society, writes Yves Leterme.;https://www.euractiv.com/section/justice-home-affairs/opinion/redefining-the-elements-for-successful-integration/;Germany;51.0;9.0;0.0;neutral
"refugee who is unable or unwilling"" to return to their country of origin because ""of persecution or a well-founded fear of persecution on account of race";https://www.cityweekly.net/utah/tangled-web/Content?oid=9211602;Myanmar;22.0;98.0;-0.5;negative
asylum seekers are immediately placed in detention before undergoing a reception and identification procedure.;http://www.infomigrants.net/en/post/9706/greece-has-wide-disparities-in-standards-among-its-migrant-detention-centers;Greece;39.0;22.0;0.0;neutral
migrant who is currently living in an asylum center in the town of Neumarkt in the southern German state of Bavaria.;http://www.infomigrants.net/en/post/9703/why-are-pakistanis-so-successful-at-finding-jobs-in-germany;Italy;42.83;12.83;-0.025;negative
migrant children are in cages — many kids are held in chain-link fence enclosures — ORR is overburdened and border patrol agents are allegedly abusive to unaccompanied minors.;https://thinkprogress.org/health-secretary-lies-about-whats-really-happening-to-immigrant-children-at-the-border-94349d027a59/;United States;38.0;-97.0;0.2;positive
refugees are housed in neighboring countries, the flow of people fleeing conflicts or poverty in Africa or the Middle East to Europe has empowered nationalist parties across the continent.;https://www.stripes.com/news/refugees-now-make-up-1-percent-of-world-population-peace-index-shows-1.531398;Central African Republic;7.0;21.0;0.0;neutral
refugees is currently at the highest its been in recorded history with around 68 million people currently displaced, according to an annual report.;https://www.msn.com/en-us/news/world/refugees-now-1-percent-of-worlds-population/ar-AAyiKc2;South Sudan;15.0;30.0;0.0;neutral
asylum seekers are accommodated at the facility until they decide to leave.;https://www.thelocal.dk/20180606/the-middle-of-nowhere-inside-denmarks-krshovedgrd-deportation-camp;Denmark;56.0;10.0;0.0;neutral
migrants who are caught crossing the US-Mexico border or requesting asylum, regardless of whether they are parents traveling with their children.;https://www.pri.org/stories/2018-06-06/oregon-senator-denied-access-migrant-childrens-center-texas;United States;38.0;-97.0;0.0;neutral
asylum seekers is the issue of family reunification.;https://www.euractiv.com/section/justice-home-affairs/opinion/abolish-dublin-regulation-for-a-humane-asylum-system-built-on-solidarity/;Greece;39.0;22.0;0.0;neutral
migrants is currently close to a 20-year high.;https://www.inc.com/arnobio-morelix/inc-entrepreneurship-index-2018-q1.html;United States;38.0;-97.0;0.08;positive
migrants who are in the U.S. without papers is incarceration and deportation.;https://www.frontline.in/world-affairs/immigrants-as-outlaws/article10108763.ece;Mexico;23.0;-102.0;0.0;neutral
