sentence;url;place;lat;lon;sentiment_score;sentiment
migrants who are sponsored to work in the country.;https://www.sbs.com.au/news/battle-lines-drawn-over-plan-to-test-english-skills-of-refugees;Australia;-27.0;133.0;0.0;neutral
migrants are women and small children who are not expected to disembark before Saturday evening.;http://nhltradereport.com/2018/06/15/more-than-900-rescued-refugees-arrive-in-sicily.html;Malta;35.83;14.58;-0.1;negative
migrant children are being held.;https://www.reviewjournal.com/news/nation-and-world/white-house-sessions-cite-bible-in-defense-of-border-policy/;United States;38.0;-97.0;0.0;neutral
refugee is trying to get the right form to settle in India and is treated like a suspected terrorist collaborator by a rather dim-witted Indian police inspector who has information on people he met in Nepal.;https://scroll.in/article/882097/a-new-and-varied-collection-of-short-stories-is-a-much-needed-addition-to-tibetan-literature;British Indian Ocean Territory;-6.0;71.5;-0.157;negative
migrants are fleeing persecution and war in countries such as Sudan, Eritrea, Syria and Afghanistan.;https://news.sky.com/story/child-migrants-abused-by-french-border-guards-oxfam-claims-11405225;Eritrea;15.0;39.0;0.0;neutral
refugees are all set to celebrate their first Eid in Bangladesh.;http://www.abplive.in/world-news/rohingyas-to-celebrate-first-eid-in-bangladesh-711465;Bangladesh;24.0;90.0;0.25;positive
migrants are jumping Canada's immigration queues.;http://www.squamishchief.com/scheer-pens-letter-to-trudeau-calling-for-end-to-border-queue-jumping-1.23337793;Canada;60.0;-95.0;0.0;neutral
refugees who are, after all, just like the rest of us: with hopes, longings, fears and a unique imagination that helps them cope with the painful and confusing world.;https://www.sacurrent.com/ArtSlut/archives/2018/06/15/catholic-charities-event-showcases-art-by-refugee-artists-in-san-antonio;United States;38.0;-97.0;-0.208;negative
refugees not to return home while Assad regime remains in power.;https://aawsat.com/english/home/article/1301756/eyad-abu-shakra/what-power-left-lebanon%E2%80%99s-prime-minister;Syria;35.0;38.0;0.0;neutral
migrants and is now heading to Spain, which offered safe harbor, escorted by two Italian ships.;http://www.businessinsider.com/r-pope-says-countries-must-unite-on-migration-as-italy-france-clash-2018-6;Spain;40.0;-4.0;0.25;positive
refugees and are now full citizens, is the legitimate expression of the self-determination of an oppressed indigenous, Middle Eastern people.;http://jewishrefugees.blogspot.com/2018/06/iraq-beauty-queen-in-israel-people.html;Israel;31.5;34.75;0.175;positive
migrants are told their kids are going to be taken away briefly to bathe, and then it dawns on them hours later they aren't coming back — Liz Goodwin (@lizcgoodwin) June 10, 2018;https://www.elle.com/culture/career-politics/a21527715/zero-tolerance-immigration-policy-trump-administration-questions/;United States;38.0;-97.0;0.0;neutral
migrants are better educated than Americans, compounding the economic damage.;https://www.cato.org/blog/some-good-mixed-much-bad-gop-immigration-deal;United States;38.0;-97.0;0.35;positive
refugee child is seen in Kutupalong refugee camp in Cox's Bazaar, Bangladesh, March 26, 2018.;https://www.yahoo.com/news/rohingya-refugees-fish-troubled-waters-earn-living-bangladesh-095637655.html;Bangladesh;24.0;90.0;0.0;neutral
migrant children are turned over to HHS for care if they arrive in the US without a parent or guardian or are separated from one.;https://www.kxly.com/news/politics/national-politics/texas-port-of-entry-chosen-as-temporary-shelter-for-unaccompanied-children/753232426;United States;38.0;-97.0;0.0;neutral
"migrants are welcome here.""";http://www.journalgazette.net/article/20180614/WEB/306149637;United States;38.0;-97.0;0.8;positive
asylum seekers who are already in the United States circumvent the agreement by crossing the Canadian border at irregular sites, including Roxham Road in Quebec.;http://nationalpost.com/pmn/news-pmn/u-s-canada-agreement-on-refugees-is-now-unconstitutional;United States;38.0;-97.0;0.0;neutral
migrants are on the move anyway to escape poverty and violence.;https://www.alaraby.co.uk/english/news/2018/6/15/spain-offers-healthcare-to-stranded-migrants-in-italy-spat;Italy;42.83;12.83;0.0;neutral
migrants are now hosted at a Red Cross site outside town.;http://en.rfi.fr/wire/20180615-calais-italy-tension-soars-over-migrant-crisis;Italy;42.83;12.83;0.0;neutral
migrants are primarily young male loners, “many of whom are considered “terrorist fighters,” which require strong border protection.;https://www.prisonplanet.com/the-situation-is-critical-austria-conducts-border-defense-drills-for-expected-wave-of-80000-migrants.html;Germany;51.0;9.0;0.258;positive
migrant children is akin to incarceration.;https://www.lcsun-news.com/story/news/immigration/2018/06/14/trump-administration-picks-tornillo-tent-site-immigrant-kids/703455002/;Mexico;23.0;-102.0;0.0;neutral
migrant is so inhumane.;https://www.msn.com/en-us/news/us/it-e2-80-99s-not-just-cruel-to-separate-a-breastfeeding-baby-from-a-mom-it-e2-80-99s-medically-dangerous/ar-AAyHe6r;United States;38.0;-97.0;-0.9;negative
migrant camps are overcrowded.;http://www.angop.ao/angola/en_us/noticias/internacional/2018/5/24/Macron-hosts-Italian-Conte-after-trading-barbs-over-migrants,ffafee3a-ad71-49f3-a219-b8f9d60a507f.html;Italy;42.83;12.83;0.0;neutral
Refugee Day is celebrated every June 20: this UN initiative was set up to raise awareness about the situation of refugees worldwide.;http://www.planetexperts.com/seeking-refuge-from-the-storm/;Bangladesh;24.0;90.0;0.35;positive
refugees are expected to arrive in the port of Valencia on Saturday evening.;https://sputniknews.com/europe/201806151065437271-belgium-francken-italy-refugees/;Spain;40.0;-4.0;-0.1;negative
migrants are from Africa, while several others come from Afghanistan, Pakistan and Bangladesh, according to MSF.;https://www.thelocal.it/20180615/italys-far-right-salvini-says-aquarius-migrant-ship-on-a-cruise;Central African Republic;7.0;21.0;0.0;neutral
"migrant children are not actually victims of human trafficking, and therefore most of those children should be ""promptly returned to their home countries.""";http://www.businessinsider.com/trump-family-separation-zero-tolerance-democrats-immigration-loopholes-flores-tvpra-2018-6;Mexico;23.0;-102.0;0.167;positive
asylum seekers who are persecuted by private actors.”;https://www.democracynow.org/2018/6/15/headlines/us_catholic_bishops_blast_immoral_trump_immigration_policy;United States;38.0;-97.0;0.0;neutral
"migrant burden is expected to dominate an EU summit at the end of June, which is supposed to be the deadline for an overhaul of the bloc's ""Dublin rules"".";http://en.rfi.fr/europe/20180615-macron-meet-italian-premier-migrant-row-simmers;Afghanistan;33.0;65.0;-0.1;negative
migrants is stretched to breaking point.;http://www.brudirect.com/news.php?id=48922;Germany;51.0;9.0;-0.05;negative
migrant government is still taking in some asylum-seekers but is forcing the rest of Europe to accept others.;http://iphonefresh.com/2018/06/15/france-italy-leaders-meet-friday-amid-clash-over-migration.html;Germany;51.0;9.0;0.0;neutral
asylum seekers are at risk in Canada too, Egypt is building a brand new capital in the desert and more.;http://www.cbc.ca/radio/day6/episode-394-the-trump-doctrine-nigeria-s-world-cup-kit-the-song-of-the-summer-unaccompanied-minors-more-1.4706807;Egypt;27.0;30.0;0.318;positive
Refugees are hard working, determined to succeed;https://www.greenvilleonline.com/story/opinion/2018/06/15/opinion-refugees-want-nothing-more-than-freedom-live-their-lives/698924002/;Myanmar;22.0;98.0;-0.292;negative
refugee policy is widely blamed for a surge in support for the far-right Alternative for Germany (AfD), which became the main opposition party after last September's inconclusive election.;https://www.nbcnews.com/storyline/europes-border-crisis/germany-s-merkel-faces-political-crisis-over-migrant-policy-n883441;Germany;51.0;9.0;0.022;positive
migrant advocates are warning that separating migrant children from their families can cause “toxic stress” that disrupts a child’s brain development and harms long-term health.;https://www.houstonpublicmedia.org/articles/news/2018/06/15/291273/doctors-concerned-about-irreparable-harm-to-separated-migrant-children/;United States;38.0;-97.0;0.0;neutral
migrant children are not actually victims of human trafficking, and therefore most of those children should be “promptly returned to their home countries.”;https://www.businessinsider.com.au/trump-family-separation-zero-tolerance-democrats-immigration-loopholes-flores-tvpra-2018-6;Mexico;23.0;-102.0;0.167;positive
refugees are currently housed in 40 hotels in Cologne.;http://www.infiniteunknown.net/2018/06/14/migrant-crisis-crime-june-14-2018-edition-police-attacked-abuse-rapes-and-much-more/;Germany;51.0;9.0;0.0;neutral
refugees are allowed to pass through into Canada as a part of the Canada-U.S.;http://www.mymalonetelegram.com/mtg01/at-the-border-in-clinton-county-refugees-to-canada-see-support-protests--20180613;Canada;60.0;-95.0;0.0;neutral
migrants is too long and cumbersome and the administrative offices are understaffed, the report also said.;http://www.brusselstimes.com/opinion/11647/the-integration-process-in-belgium-bureaucracy-inefficiencies-and-incompetence;Germany;51.0;9.0;-0.05;negative
migrants are in much worse situations with their families getting torn apart.;http://www.news10.com/news/rally-in-albany-to-protest-immigration-policies/1240184186;United States;38.0;-97.0;-0.4;negative
migrant burden is expected to dominate an EU summit at the end of June, which is supposed to be the deadline for an overhaul of the bloc’s “Dublin rules”.;https://tribune.com.pk/story/1735759/3-migrant-tensions-menu-macron-meets-italian-leader/;Afghanistan;33.0;65.0;-0.1;negative
migrants are coming is because they are seeking asylum in the united states because something that is happening in their home country is so bad;https://www.alternet.org/news-amp-politics/crisis-americas-own-invention-msnbc-guest-chokes-while-giving-powerful-rebuke;Honduras;15.0;-86.5;-0.7;negative
refugee camps are overrun with what seem like more pressing problems, such as bullet wounds and foot infections.;https://newsinteractives.cbc.ca/longform/syrian-family-wheelchair-halifax;Syria;35.0;38.0;0.25;positive
refugees are not legally allowed to work, some find jobs on fishing boats or help push them out to sea.;https://www.theguardian.com/artanddesign/2018/jun/15/rohingya-refugees-fish-in-troubled-waters-photo-essay;Bangladesh;24.0;90.0;-0.1;negative
"Refugees are not victims,"" but human beings and that in writing about them ""how do we counter the numbing of society?""";https://www.ecumenicalnews.com/article/not-just-numbers-displaced-people-need-to-share-their-stories-study-finds/60495.htm;Germany;51.0;9.0;0.0;neutral
refugees are travelling the dangerous migrant routes towards Europe alone, having lost or been separated from their parents in the chaos of warfare and disaster.;https://www.soschildrensvillages.org.uk/news/latest-news/press-releases/unaccompanied-child-refugees-greece;Greece;39.0;22.0;-0.6;negative
"migrants are welcomed here.""";https://www.mycentraljersey.com/story/news/2018/06/14/rallies-protest-trump-policy-separating-children-parents-border/700685002/;United States;38.0;-97.0;0.0;neutral
refugees is also consistently too far removed from the 'consciousness of the west' as their stories fail to be told in Western news and media.;http://allafrica.com/stories/201806150290.html;Norway;62.0;10.0;-0.038;negative
refugees is shared more equally under the Dublin system – the EU rules that set out which state is responsible for processing asylum applications.;http://oneworld.org/2018/06/13/children-abused-and-illegally-returned-at-french-italian-border/;Ireland;53.0;-8.0;0.233;positive
"migrant families are not committing dangerous crimes and asylum-seekers are not criminals and are not here illegally.""";http://www.kveo.com/news/local-news/valley-congressman-denounces-zero-tolerance-policy-on-immigration/1239879995;United States;38.0;-97.0;-0.55;negative
migrant crisis is needed, Macron said.;http://www.gazzettadelsud.it/news/english/295360/conte-macron-reach-agreement-on-migrants-euro.html;France;46.0;2.0;0.0;neutral
