sentence;url;place;lat;lon;sentiment_score;sentiment
migrants who are facing the socio-economic problem and health problem are resolved.;https://blogs.dunyanews.tv/21975/;Germany;51.0;9.0;0.0;neutral
refugees should not be returned to a country where they face serious threats to life or freedom, Quigley said.;http://news.trust.org/item/20180613063016-3vkt7/;Honduras;15.0;-86.5;-0.333;negative
migrant children are in US government custody at 100 shelters in 14 different states, according to a May estimate.;http://www.businessinsider.com/congress-leaders-john-cusack-protest-trump-family-separation-policy-2018-6;United States;38.0;-97.0;0.0;neutral
Refugee Week is more important today than ever.;http://www.brightonandhovenews.org/2018/06/12/brighton-prepares-to-celebrate-refugee-week/;United Kingdom;54.0;-2.0;0.45;positive
migrants are heading towards Western Europe.;https://www.infowars.com/austria-to-stage-border-defence-war-games-after-migrant-surge-warning/;Austria;47.33;13.33;0.0;neutral
migrant is still not free.;https://jewishlifenews.com/israel/a-darfurian-asylum-seeker-escaped-to-an-israel-that-doesnt-want-him/;Germany;51.0;9.0;-0.2;negative
migrants and is now heading to Spain, which offered safe harbour, escorted by two Italian ships.;https://www.timesofmalta.com/articles/view/20180613/world/italy-summons-french-envoy-as-migration-row-escalates.681682;Spain;40.0;-4.0;0.25;positive
migrant government is still taking in some asylum-seekers but is forcing the rest of Europe to accept others.;http://www.foxnews.com/world/2018/06/13/latest-italy-summons-french-ambassador-in-migrant-spat.html;Italy;42.83;12.83;0.0;neutral
migrants are too complicated for you to understand.;https://www.nbcnews.com/think/opinion/jeff-sessions-immigration-policy-changes-are-means-sinister-end-dehumanization-ncna882556;United States;38.0;-97.0;-0.5;negative
migrants do not have access to lawyers who can request bail or the funds to cover the cost.;https://www.abqjournal.com/1184145/governor-backs-border-policy-separating-parents-children.html;United States;38.0;-97.0;0.0;neutral
asylum seekers who are ostensibly in “civil” detention in buildings constructed to house those punished for federal crimes.;https://www.vox.com/policy-and-politics/2018/6/13/17458008/immigrant-children-cages-separated-parents-border;United States;38.0;-97.0;0.0;neutral
migrants does not correspond to the figures.;https://www.euractiv.com/section/justice-home-affairs/news/does-france-take-its-fair-share-of-migrants/;France;46.0;2.0;0.0;neutral
migrants are expected to arrive around Saturday night at the Spanish port of Valencia, depending on weather conditions.;http://mynorthwest.com/1017834/the-latest-italy-summons-french-ambassador-in-migrant-spat/;Spain;40.0;-4.0;-0.05;negative
migrants are usually taken to one of seven longer-term immigration detention centres where they wait for up to 60 days for their fate to be decided.;http://en.rfi.fr/wire/20180613-migrants-spain-find-difficult-situation;Italy;42.83;12.83;-0.25;negative
asylum seekers are waiting for legal entry into the U.S. and have camped near border crossings, although authorities have told them to continue waiting in Mexico before applying for asylum.;https://www.catholicworldreport.com/2018/06/12/immigration-ruling-closes-the-door-to-victims-of-abuse-gang-violence/;Mexico;23.0;-102.0;0.15;positive
migrants are also vulnerable to a range of other forms of crime such as violence, rape, theft, kidnapping, extortion and trafficking in persons.;https://reliefweb.int/report/world/unodc-global-study-smuggling-migrants-2018;Italy;42.83;12.83;-0.208;negative
"refugee camp is not,"" Salvini wrote on Facebook on Monday.";http://mwcnews.net/news/europe/72480-spain-offers-to-take-in-aquarius-ship.html;Tunisia;34.0;9.0;0.0;neutral
migrants are believed to have died at sea in recent years trying to reach Malaysia.;https://www.today.ng/news/world/rohingya-refugees-land-myanmar-escape-boat-breaks-122354;Malaysia;2.5;112.5;0.0;neutral
Refugees are coming to Europe from Africa and countries at war like Syria and Yemen.;http://www.panorientnews.com/en/news.php?k=2680;Central African Republic;7.0;21.0;0.0;neutral
refugee camps are at risk of death or injury from monsoon rains, officials and relief agencies have said.;https://www.aljazeera.com/news/2018/06/deadly-monsoon-storms-batter-rohingya-camps-bangladesh-180613054603466.html;Israel;31.5;34.75;0.0;neutral
migrants are expected to arrive in Valencia, around 930 miles from where it had been stranded, on Saturday night;https://www.thesun.co.uk/news/6521783/italy-savages-macron-over-migrant-boat-stand-off-after-french-president-blasted-irresponsible-government/;Spain;40.0;-4.0;-0.1;negative
"refugee camp is not.""";http://www.digitaljournal.com/news/world/from-stranded-rescue-ship-to-new-migrant-row/article/524571;Germany;51.0;9.0;0.0;neutral
refugee status are processed quickly.;http://www.advertiser.ie/galway/article/101244/tuathail-demands-direct-provision-system-to-be-dismantled;Ireland;53.0;-8.0;0.333;positive
migrants on are rescued by the SOS Mediterranee organisation during a search and rescue (SAR) operation in the Mediterranean Sea, off the Libyan Coast, September 14, 2017.;https://www.malaymail.com/s/1641343/migrants-on-stranded-rescue-ship-aquarius-to-be-taken-to-spain;Hong Kong;22.25;114.17;0.0;neutral
migrant parents are told by government officials that their kids will receive a bath, only to have them never return, Boston Globe reporter Liz Goodwin shared on Twitter:;https://www.theroot.com/trump-administration-considers-tent-cities-to-house-tho-1826792664;Germany;51.0;9.0;0.0;neutral
migrant children are being held at HHS shelters, which are 95 percent full.;https://www.theday.com/national-politics/20180612/unaccompanied-mitrant-kids-could-go-to-tent-cities;Honduras;15.0;-86.5;0.35;positive
refugees who are planning to return to Syria;https://www.aljazeera.com/news/2018/06/lebanon-spat-syrian-refugees-return-180613145140101.html;United States;38.0;-97.0;0.0;neutral
refugees who are driven out from their homes due to economic reasons.After receiving a courtesy call from Turkey's Ambassador to Malaysia Dr Merve Safa Kavakçi on Monday;http://www.bernama.com/en/general/news.php?id=1472052;Turkey;39.0;35.0;0.038;positive
asylum seekers who are persecuted by private actors.” The cardinal urged U.S. courts and policymakers “to respect and enhance;https://www.americamagazine.org/politics-society/2018/06/13/catholic-leaders-denounce-sessionss-asylum-decision-we-have-truly-lost;Mexico;23.0;-102.0;0.0;neutral
refugees and not for the German people, so the Germans have to decide what they want.;https://sputniknews.com/analysis/201806131065380041-germany-refugees-asylum-system/;Ukraine;49.0;32.0;0.0;neutral
refugees are fleeing as an impetus for his campaign.;https://www.coloradoan.com/story/news/2018/06/13/fort-collins-democrats-joe-neguse-mark-williams-hope-replace-jared-polis-congress/691491002/;United States;38.0;-97.0;0.0;neutral
migrant camps, are only the latest manifestation of long-building tensions between European cities and nation-states over what to do about refugee populations.;https://www.newsdeeply.com/refugees/community/2018/06/13/how-cities-can-help-solve-europes-crisis-over-refugees;Germany;51.0;9.0;0.167;positive
refugees should not look to politics or broken asylum regimes for solutions to their displacement and misery, they should look in the mirror.;https://www.theguardian.com/global-development/2018/jun/13/tedx-kenya-kakuma-refugee-camp-hanno-brankamp;Kenya;1.0;38.0;-0.4;negative
Migrants do not want to depend on aid;http://www.dw.com/en/nigerian-refugees-in-germany-among-top-job-finders/a-44151590;Germany;51.0;9.0;0.0;neutral
"asylum seekers who are persecuted by private actors.""";http://www.spiritfm905.com/Blog/News/Catholic-News/195575;United States;38.0;-97.0;0.0;neutral
migrants are believed to have died at sea in recent years trying to reach;https://www.business-standard.com/article/pti-stories/rohingya-refugees-land-in-myanmar-as-escape-boat-breaks-up-118061300980_1.html;Malaysia;2.5;112.5;0.0;neutral
migrants are seriously hurt, officials said many are ill.;http://gephardtdaily.com/national-international/spain-agrees-to-accept-boatload-of-stranded-migrants/;Malta;35.83;14.58;-0.111;negative
migrants is recipient of an operating grant under AMIF.;https://ec.europa.eu/home-affairs/news/infomigrants-online-platform-expands-offer-five-languages_en;Germany;51.0;9.0;0.0;neutral
refugees are affectionately known, were early last month given up to the 11th of July this year to have vacated the only refugee camp in the country, situated some 110km northwest of Francistown.;http://www.thepatriot.co.bw/news/item/5651-we-would-rather-be-deported-%E2%80%93-caprivians.html;Botswana;-22.0;24.0;0.033;positive
migrants is all the less comprehensible as the country has a strong history of migration;https://www.euractiv.com/section/elections/news/italys-rejection-of-aquarius-refugees-lamentable-and-reprehensible-nobel-laureate-says/;Spain;40.0;-4.0;0.222;positive
refugees who are just coming to this country.;https://www.sltrib.com/news/2018/06/13/trib-talk-utah-restaurant-horror-stories-from-the-tribunes-food-reporter/;United States;38.0;-97.0;0.0;neutral
asylum seekers is not a bed of roses.;http://afghanistantimes.af/hamid-karzai-former-afghan-president-hopeful-permanent-peace-taliban/;Afghanistan;33.0;65.0;0.0;neutral
migrants are often influenced by the conditions they faced at home.;https://news.un.org/en/story/2018/06/1012102;Bangladesh;24.0;90.0;0.0;neutral
migrant children are being held in cages made out of wire and net.;http://www.thedailysheeple.com/caging-children-separating-families-has-the-war-on-immigration-gone-too-far_062018;Germany;51.0;9.0;0.0;neutral
migrant League is still accepting some migrants, but is forcing other countries to share the burden.;https://in.news.yahoo.com/latest-italy-summons-french-ambassador-migrant-spat-072540837.html;Malta;35.83;14.58;-0.125;negative
migrants are told their kids are going to be taken away briefly to bathe, and then it dawns on them hours later they aren't coming back — Liz Goodwin (@lizcgoodwin) June 10, 2018;https://www.balloon-juice.com/2018/06/12/today-would-have-been-anne-franks-89th-birthday-had-she-not-been-taken-from-her-family-and-sent-to-a-concentration-camp/;United States;38.0;-97.0;0.0;neutral
migrants are parked right off the African coast and 99% of the journey takes place on the rescue ship.;http://freerepublic.com/focus/f-news/3662849/posts;Central African Republic;7.0;21.0;0.143;positive
asylum seekers who are persecuted by private actors.”;https://www.catholicworldreport.com/2018/06/13/cardinal-dinardo-new-us-asylum-policy-erodes-the-right-to-life/;United States;38.0;-97.0;0.0;neutral
refugees were not allowed to come into our country in the past, our country would not be what it is today, a place where compassion towards other human beings can dominate.;http://www.issaquahreporter.com/letters/the-right-thing-to-do-syrian-refugees-need-our-help-letter/;United States;38.0;-97.0;-0.125;negative
migrants is integrating into society.;https://theadvocatespost.org/2018/06/13/english-speaking-cameroonians-work-to-highlight-human-rights-abuses/;Nigeria;10.0;8.0;0.0;neutral
asylum seekers are targeted too;https://www.nzherald.co.nz/wanganui-chronicle/midweek/news/article.cfm?c_id=1503658&objectid=12070065;Mexico;23.0;-102.0;0.0;neutral
migrant ship is shameful but the responsibility lies with Europe as a whole, UN refugee chief Filippo Grandi said.;https://tribune.com.pk/story/1734364/3-shameful-handling-migrant-ship-shows-need-eu-asylum-reform-un/;Switzerland;47.0;8.0;0.2;positive
refugee students are exposed to university campus life.;https://primetime.unprme.org/2018/06/12/empowering-refugees-through-training-and-funding-monash-university-malaysia-part-1-or-2/;Malaysia;2.5;112.5;0.0;neutral
migrants are illegally crossing the Bosnian border from Serbia and Montenegro, using Bosnia as a new transit route on their way to Western Europe.;http://www.balkaninsight.com/en/article/bosnia-to-close-borders-if-austria-makes-the-same-move-06-13-2018;Bosnia and Herzegovina;44.0;18.0;-0.121;negative
refugees are kept in inhuman conditions in overcrowded refugee camps in Greece and Turkey routinely resorts to violence;https://www.opendemocracy.net/can-europe-make-it/filiz-kahraman/can-europe-save-turkey-from-sliding-into-authoritarianism;Turkey;39.0;35.0;0.0;neutral
refugees who are the victims of international conflicts and crises.;https://www.middleeastmonitor.com/20180613-meccas-promises-are-not-enough-for-jordan/;Saudi Arabia;25.0;45.0;0.0;neutral
migrant children are being in government custody, and that number will grow even as U.S. officials struggle to find places for their custody.;http://www.tucsonsentinel.com/local/report/061318_parents_mcsally/30-parents-their-kids-protest-family-separation-mcsallys-office/;United States;38.0;-97.0;0.0;neutral
migrants are crossing the Black Sea, she reports, or taking the Western Mediterranean route — from Morocco and Algeria, bound for Spain.;https://wskg.org/npr_story_post/migrant-ship-with-italian-support-will-make-dayslong-journey-to-spain/;Morocco;32.0;-5.0;-0.083;negative
migrant ship is shameful but the responsibility lies with Europe as a whole, UN refugee chief Filippo Grandi told Reuters on Wednesday.;https://www.onlinenigeria.com/site/stories/550993-italys-rejection-of-migrant-ship-shameful-un-envoy.html;Malta;35.83;14.58;0.2;positive
refugees are women and children, which means there are also educational needs as well as therapeutic ones.;http://afropop.org/articles/hip-hop-saves-lives-starting-with-sudanese-refugees;United States;38.0;-97.0;0.25;positive
migrant asylum is a “Christian approach.”;http://www.elderstatement.com/2018/06/kasie-hunt-badgers-jim-jordan-over.html;United States;38.0;-97.0;0.0;neutral
refugees is likely to last a long time.;https://reliefweb.int/report/chad/chad-population-movement-central-african-republic-car-emergency-plan-action-epoa-dref-1;Chad;15.0;19.0;-0.017;negative
migrant ship is shameful but the responsibility lies with Europe as a whole, U.N. refugee chief Filippo Grandi told Reuters on Wednesday.;https://af.reuters.com/article/commoditiesNews/idAFL8N1TF2VS;Italy;42.83;12.83;0.2;positive
migrants seeking not to be sent home.;http://www.tucsonsentinel.com/nationworld/report/061318_sessions_asylum/sessions-limits-asylum-claims-victims-domestic-gang-violence/;United States;38.0;-97.0;0.0;neutral
refugees and are now full citizens, is the legitimate expression of the self-determination of an oppressed indigenous, Middle Eastern people.;http://jewishrefugees.blogspot.com/2018/06/diarna-races-to-map-jewish-heritage-in.html;Tunisia;34.0;9.0;0.175;positive
migrants and is now heading to Spain, which offered safe harbor, escorted by two Italian ships.;https://www.theglobeandmail.com/world/article-italy-france-tensions-flare-as-migrants-head-to-spain/;Spain;40.0;-4.0;0.25;positive
refugees are welcome here;https://ourfuture.org/20180612/our-liberty-is-bound-together;United States;38.0;-97.0;0.8;positive
Refugees (BAMF) is an annoyance and should be cleared up.;http://www.dw.com/en/opinion-quit-arguing-over-asylum-seekers/a-44189220;Germany;51.0;9.0;0.0;neutral
asylum seekers are now out of luck.;https://wmmbam.iheart.com/content/2018-06-12-expert-immigrants-stymied-by-asylum-policy-change/;United States;38.0;-97.0;0.0;neutral
migrants are subjected by the persecution and detention measures are still not taken into account when making decisions that violate human rights.;http://aldianews.com/articles/politics/immigration/sad-end-detained-honduran-immigrant/52976;United States;38.0;-97.0;0.0;neutral
migrants are afforded under the law.;http://www.qgazette.com/news/2018-06-13/Features/Katz_Know_Your_Rights_Week_For_Immigrants_June_252.html;United States;38.0;-97.0;0.0;neutral
migrants who are apprehended at the southern border from their children in order to prosecute parents for crossing into the U.S. illegally.;http://thehill.com/homenews/392104-franklin-graham-criticizes-policy-separating-families-at-border;United States;38.0;-97.0;-0.25;negative
refugees who are driven out from their homes due to economic reasons.;http://www.theedgemarkets.com/article/malaysia-keen-work-turkey-help-refugees;Malaysia;2.5;112.5;0.038;positive
migrants is abandoned to its fate for days, has no place to land and no one wants to welcome these people.;http://plenglish.com/index.php?o=rn&id=29516&SEO=un-criticizes-europes-response-to-migration-crisis;Malta;35.83;14.58;0.5;positive
Refugees group is hoping the week will be a chance to promote harmony and inclusivity in the community.;https://www.bendigoadvertiser.com.au/story/5466616/advocacy-groups-team-up-to-start-the-conversation-during-refugee-week/;Australia;-27.0;133.0;0.0;neutral
refugees are registered in Nigeria as of 31st May 2018 Cross River (17,003) Benue (3,525) Akwa Ibom (179) Taraba (584);https://reliefweb.int/report/nigeria/flash-update-cameroonian-refugee-situation-nigeria-5th-may-1st-june-2018;Nigeria;10.0;8.0;0.0;neutral
refugees would not pass up safe refuges in the nearest country.;http://freerepublic.com/focus/f-news/3662924/posts;Malta;35.83;14.58;0.5;positive
migrants are being transferred, in the Mediterranean Sea, Tuesday, June 12, 2018.;https://gulfnews.com/news/europe/spain/italy-diplomatic-tensions-flare-as-migrants-head-to-spain-1.2236415;Italy;42.83;12.83;0.0;neutral
asylum seekers are smuggled into the country before attempting to cross the Mediterranean Sea to Europe.;https://reliefweb.int/report/yemen/atrocity-alert-no-109-13-june-2018-yemen-libya-syria;Central African Republic;7.0;21.0;0.0;neutral
refugee system is not set up to automatically grant refugee status to gay people from Honduras based solely on generalized reports about the dangerous situation there and its government’s flailing attempts to deal with it.;http://gaycitynews.nyc/sessions-new-asylum-posture-lgbtq-refugees/;Honduras;15.0;-86.5;-0.092;negative
refugees are projected to be unemployed and living off government benefits for years to come.;https://hotair.com/archives/2018/06/13/merkels-open-border-policies-hot-water/;Ukraine;49.0;32.0;0.0;neutral
refugee camp is not,” he tweeted Sunday.;https://gulfnews.com/news/europe/spain/aquarius-migrant-ship-at-centre-of-ugly-european-row-1.2236407;Germany;51.0;9.0;0.0;neutral
migrants are routinely abused by smugglers and other criminals, including physical and sexual abuse, torture for ransom, arbitrary detention for long periods of time, forced labour and even death.;https://www.iom.int/news/iom-saddened-nearly-50-migrants-drown-yemens-shores-others-still-missing;Yemen;15.0;48.0;-0.013;negative
refugees are registered in Nigeria as of 31st May 2018 Cross River (17,003);http://humanitariannews.org/20180613/nigeria-flash-update-cameroonian-refugee-situation-nigeria-5th-may-1st-june-2018;Nigeria;10.0;8.0;0.0;neutral
refugee camp is not.;https://www.euractiv.com/section/global-europe/news/ms-aquarius-reveals-a-strained-dublin-system/;Italy;42.83;12.83;0.0;neutral
refugees does not tend to inquire deeply about money and assets, and even if questions are asked, Canadian officials may not check to ensure truthfulness.;http://edmontonsun.com/opinion/columnists/guest-column-is-canada-a-safe-haven-for-corrupt-iranian-officials-and-their-money/wcm/26b60fde-3b5d-4303-af2a-d8200af224ca;United States;38.0;-97.0;0.0;neutral
refugee admissions are threatening to unravel a national network of community support for refugees and leave thousands of innocent men, women, and children in limbo.;http://www.prweb.com/releases/2018/06/prweb15558591.htm;Afghanistan;33.0;65.0;0.5;positive
migrants in is the latest development in a war of words with France since Italy turned away the aid ship Aquarius carrying 629 migrants.;http://www.dailymail.co.uk/news/article-5841041/Ship-carrying-900-migrants-docks-Sicily-Italy-fights-Aquarius-row.html;France;46.0;2.0;0.5;positive
migrant children, is examining military bases near El Paso, San Angelo, and Abilene, Texas to determine if 1,000 to 5,000 children could be held at the sites.;https://www.mintpressnews.com/tent-cities-imprison-child-migrants/243944/;United States;38.0;-97.0;0.0;neutral
"migrant children are increasingly being separated from their parents because of the White House's new ""zero-tolerance"" policy";http://www.foxnews.com/politics/2018/06/13/house-democrat-joe-crowley-collapses-at-anti-trump-immigration-rally-heat-exhaustion-is-cited.html;United States;38.0;-97.0;0.068;positive
refugee is displaced for a decade.;https://euobserver.com/opinion/138454;Germany;51.0;9.0;0.0;neutral
refugee situations are managed globally, and show how solidarity and shared responsibility pays dividends all round.;https://reliefweb.int/report/world/un-high-commissioner-refugees-grandi-urges-fair-and-coherent-approach-european-asylum;Switzerland;47.0;8.0;-0.1;negative
asylum seekers are incapable of committing crime, singling out cases where the perpetrator is an asylum-seeker or Muslim risks furthering a xenophobic anti-Muslim and anti-refugee agenda.;https://www.hrw.org/news/2018/06/13/protecting-women-germany-violence;Ukraine;49.0;32.0;0.0;neutral
migrant ship is also meant to push European Union leaders to address the bloc’s migration policies later this month at an EU summit.;http://en.mercopress.com/2018/06/13/italy-spain-insist-europe-must-share-the-burden-of-migrants;Italy;42.83;12.83;0.0;neutral
migrants are being kept;https://www.alternet.org/news-amp-politics/they-could-hear-children-screaming-lawmaker-details-trump-administrations;United States;38.0;-97.0;0.0;neutral
migrants are young men from Islamic countries.”;https://www.infowars.com/mep-slams-eu-globalists-for-islamic-invasion-of-europe/;Afghanistan;33.0;65.0;0.1;positive
asylum seeker is deported to face harm or even death in their home country.;https://www.americanprogress.org/issues/immigration/reports/2018/06/13/452025/asylum-trump-era/;Mexico;23.0;-102.0;0.0;neutral
refugee resettlement is what cost then-Mayor Christopher Louras his re-election bid.;http://www.rutlandherald.com/articles/refugees-return-to-rutland-agenda/;United States;38.0;-97.0;0.0;neutral
migrants are now expected to arrive in Valencia on Saturday night, weather conditions permitting, said Sophie Beau, co-founder of the charity SOS Mediterranee that operates the ship.;https://news.mb.com.ph/2018/06/14/italy-france-tensions-flare-as-migrants-head-to-spain/;Spain;40.0;-4.0;-0.1;negative
Refugee Service/USA is an international Catholic non-governmental organization whose mission is to accompany, serve and advocate for the rights of refugees and other forcibly displaced persons.;https://reliefweb.int/report/united-states-america/jesuit-refugee-serviceusa-jesuit-conference-office-justice-and-ecology;Mexico;23.0;-102.0;0.094;positive
migrants are mainly sub-Saharan Africans who had set off from the coast of Libya to reach Europe.;https://www.aljazeera.com/news/2018/06/aquarius-refugee-ship-180613132710742.html;Malta;35.83;14.58;0.167;positive
refugees is also consistently too far removed from the ‘consciousness of the west’ as their stories fail to be told in Western news and media.;http://www.ipsnews.net/2018/06/stop-neglecting-african-conflicts/;Norway;62.0;10.0;-0.038;negative
refugees are anticipated to arrive in Sudan in 2018.;https://reliefweb.int/report/sudan/sudan-s-white-nile-transfer-south-sudanese-refugees-overcrowded-camp;Sudan;15.0;30.0;0.0;neutral
