sentence;url;place;lat;lon;sentiment_score;sentiment
asylum seekers are processed in the country of their arrival.;https://www.yahoo.com/news/italy-no-longer-serve-apos-163653759.html;Germany;51.0;9.0;0.0;neutral
migrants are families with children.;https://www.straitstimes.com/world/europe/cash-strapped-bosnia-struggles-to-cope-with-migrant-influx;Croatia;45.17;15.5;0.0;neutral
refugees are being admitted, people who used to help them are losing their jobs.;http://westseattleblog.com/2018/06/from-refugees-to-river-explorer-west-8th-graders-take-on-issues-near-and-far-in-this-years-change-the-world-project/;United States;38.0;-97.0;0.0;neutral
migrant children are being held, but police were called and he was told to leave.;http://mynorthwest.com/1008464/us-senator-refused-entry-to-facility-holding-migrants-kids/;Mexico;23.0;-102.0;0.0;neutral
migrant children are held.;https://www.salon.com/2018/06/04/merkley-discusses-absolutely-immoral-trump-policy-of-separating-immigrant-children-from-parents/;United States;38.0;-97.0;0.0;neutral
migrants are only able to regularize their status or legalize their stay either under the host government’s national immigration and other legal framework.;https://reliefweb.int/report/venezuela-bolivarian-republic/americas-region-population-movement-emergency-plan-action-epoa;Cuba;21.5;-80.0;0.144;positive
migrant not to talk about his mother who migrated to America from Scotland illegally.;http://www.nairaland.com/4540318/inside-illegal-immigration-mass-trial;Canada;60.0;-95.0;-0.5;negative
migrants are increasingly stuck in southern Europe;https://www.sbs.com.au/news/more-than-50-migrants-die-in-mediterranean-crossings;Tunisia;34.0;9.0;0.0;neutral
Refugee Resettlement are trying to hide what's happening behind the doors of the former Walmart.;http://www.wmdt.com/news/national/us-senator-refused-entry-to-facility-holding-migrants-kids/749318390;Mexico;23.0;-102.0;-0.2;negative
refugees who are forced to flee their homes, he lived for the South Sudanese families whose lives have been ravaged by strife.;https://www.bellanaija.com/2018/06/one-year-remembrance-former-minister-health-professor-babatunde-osotimehin/;Nigeria;10.0;8.0;-0.3;negative
migrants are brought ashore.;https://www.telegraph.co.uk/news/2018/06/04/italys-new-government-diplomatic-row-accusing-tunisia-sending/;Luxembourg;49.75;6.17;0.0;neutral
migrants who are picked up by the Libyan coast guard and returned to Libya are being condemned to a cycle of violence, trafficking and abuse.;http://www.krdo.com/news/national-world/at-least-48-people-dead-after-migrant-boat-sinks-off-tunisian-coast/749232770;Tunisia;34.0;9.0;0.0;neutral
migrant children are held, is being paid as much as $770,860 a year.;http://www.newsweek.com/ceo-non-profit-shelter-called-police-senator-trying-visit-detained-children-956802;United States;38.0;-97.0;0.2;positive
migrants do not want to go to Poland anyway, due to low social benefits.;http://www.dw.com/en/polish-german-relations-the-sticking-points/a-44074544;Poland;52.0;20.0;-0.031;negative
migrants are 97 times more likely to face sexual assault in federal detention centers than the general population.;https://www.publicnewsservice.org/2018-06-04/lgbtqia-issues/lgbt-detainees-face-sexual-assault-in-ice-detention/a62742-1;United States;38.0;-97.0;0.263;positive
migrant children are being held, but police were summoned and he was told to leave.;https://www.houstonpublicmedia.org/articles/news/2018/06/04/289171/us-senator-refused-entry-to-facility-holding-migrants-kids/;Mexico;23.0;-102.0;0.0;neutral
migrants are not worthy of our love and respect as members of the human family?;http://globalsistersreport.org/column/equality-migration/postville-pentecost-54131;Somalia;10.0;49.0;0.111;positive
