sentence;url;place;lat;lon;sentiment_score;sentiment
Refugees are forced to flee their homes in fear for their family and for themselves.;http://www.theguardian.pe.ca/opinion/letter-to-the-editor/letter-refugees-need-more-support-217382/;Canada;60.0;-95.0;-0.3;negative
"migrants is prompting an ""urgent humanitarian imperative.""";http://www.wbal.com/article/318688/130/the-latest-germany-urges-solution-to-migrant-ship-standoff;Germany;51.0;9.0;0.0;neutral
migrants is prompting an “urgent humanitarian imperative.” The agency is demanding that some country — any country — let the ship dock.;https://wtop.com/europe/2018/06/the-latest-eu-urges-italy-malta-to-resolve-ship-standoff/;Germany;51.0;9.0;0.0;neutral
refugee camp is not.;https://www.thesun.co.uk/news/6497894/migrant-aquarius-ship-stranded-mediterranean-italy-matteo-salvini-refuses-permission-dock/;Italy;42.83;12.83;0.0;neutral
migrants is stranded in the Mediterranean after Italy's new interior minister refused permission for it to dock.;http://www.observerbd.com/details.php?id=142645;Italy;42.83;12.83;0.136;positive
"refugee camp is not,"" Salvini said on Facebook on Monday.";https://www.metro.us/news/reuters/rescue-bloat-drifts-sea-italy-takes-anti-migrant-stance;Italy;42.83;12.83;0.0;neutral
refugee camp is not,” Matteo Salvini, the head of the far-right League party, who became interior minister this month, wrote on Facebook on Monday.;http://voiceofvienna.org/2018/06/12/spain-offers-to-take-in-aquarius-ship-carrying-over-600-refugees/;Tunisia;34.0;9.0;0.0;neutral
migrant chefs are an embedded part of the community.;https://www.sfstation.com/2018/06/11/the-refugee-food-festival-is-landing-in-san-francisco-celebrating-cooking-hospitality-across-cultures/;French Southern Territories;-43.0;67.0;0.0;neutral
migrants are from except to say North Africa.;http://freerepublic.com/focus/f-news/3662301/posts;Italy;42.83;12.83;0.0;neutral
Migrants are rescued by staff members of the MV Aquarius;https://uk.reuters.com/article/uk-europe-migrants-italy-malta/eu-u-n-urge-italy-malta-to-let-in-drifting-migrant-ship-idUKKBN1J710B;Germany;51.0;9.0;0.0;neutral
refugees are still living in camps (Jemma Crew/PA);https://www.irishexaminer.com/breakingnews/world/johnson-seeks-to-press-burmese-leader-over-rohingya-impasse-848201.html;Myanmar;22.0;98.0;0.0;neutral
refugee crisis is WMU's new social issue.;http://www.bpnews.net/51044/gods-unshakable-pursuit-frames-wmu-opening-sessions;United States;38.0;-97.0;0.085;positive
migrants are supported in part by funding from the European Union.;http://www.wfmz.com/news/cnn-world-news/us-sanctions-libyan-smugglers-after-investigation/751768483;Germany;51.0;9.0;0.0;neutral
refugee camp is not,” Salvini said on Facebook on Monday.;https://www.theepochtimes.com/rescue-boat-drifts-at-sea-as-italy-takes-anti-migrant-stance_2557353.html;Italy;42.83;12.83;0.0;neutral
refugees would not fall under this as they are not a persecuted minority.;http://freerepublic.com/focus/f-news/3662310/posts;North Korea;40.0;127.0;0.0;neutral
asylum seekers not deported more consistently?;http://www.ruthfullyyours.com/2018/06/11/germanys-migrant-rape-crisis-failure-of-the-state-by-soeren-kern/;Germany;51.0;9.0;0.375;positive
refugees are refusing to go, something the local Lais, the dominant community of the Lai Autonomous District Council, have become wary of.;https://www.hindustantimes.com/india-news/can-t-go-back-to-myanmar-army-won-t-let-us-live-say-refugees-in-mizoram/story-RoDdQS0H0UmufKP6SKVvtK.html;India;20.0;77.0;-0.033;negative
migrant is still not free.;https://www.jta.org/2018/06/11/news-opinion/darfurian-asylum-seeker-escaped-israel-doesnt-want;Germany;51.0;9.0;-0.2;negative
"refugee camp is not,"" Mr Salvini said on Facebook on Monday.";https://www.thenational.ae/world/europe/eu-and-un-urge-italy-and-malta-to-allow-migrant-boat-to-dock-1.738991;Italy;42.83;12.83;0.0;neutral
migrants on are rescued by the SOS Mediterranee organisation during a search and rescue (SAR) operation in the Mediterranean Sea, off the Libyan Coast, September 14, 2017.;https://www.independent.ie/world-news/europe/spanish-pm-offers-to-take-boat-with-629-migrants-including-123-unaccompanied-children-following-standoff-between-malta-and-italy-36997462.html;Hong Kong;22.25;114.17;0.0;neutral
"refugee camp is not,"" Matteo Salvini, the head of the far-right League party, who became interior minister this month, wrote on Facebook on Monday.";https://www.msn.com/en-us/news/world/spain-offers-to-take-in-aquarius-ship-carrying-over-600-refugees/ar-AAyv5Zu;Tunisia;34.0;9.0;0.0;neutral
refugees are seriously sick and need medical treatment.;http://www.pireport.org/articles/2017/04/02/embattled-healthcare-provider-leaves-pngs-manus;Australia;-27.0;133.0;-0.357;negative
Refugee Resettlement, is overwhelming to them.;https://www.azcentral.com/story/opinion/op-ed/ej-montini/2018/06/11/unaccompanied-minors-some-under-4-were-seized-parents-feds/689708002/;United States;38.0;-97.0;0.5;positive
refugees is a demonstration of the region's commitment to solidarity.;https://euobserver.com/migration/142049;Germany;51.0;9.0;0.0;neutral
refugee camps are living in areas considered to be at high risk of deadly flooding and landslides;http://www.xinhuanet.com/english/2018-06/12/c_137247089.htm;Bangladesh;24.0;90.0;-0.02;negative
migrants who are considered to be “vulnerable” such as unaccompanied minors, disabled persons[...];http://humanitariannews.org/20180611/greece-snapshot-greek-islands-mdm-may-2018-enel;Italy;42.83;12.83;-0.233;negative
migrants is stranded in the Mediterranean Sea between Malta and Italy after both countries declined to take its human cargo.;http://cnnphilippines.com/world/2018/06/11/migrants-refused-italy-malta.html;Italy;42.83;12.83;0.0;neutral
migrants are not numbers but humans, not burdens but contributors, and not criminals but mothers and fathers and laborers and taxpayers and business owners.;http://illinoisreview.typepad.com/illinoisreview/2018/06/rauner-ally-john-rowe-joins-up-with-chicago-mayor-emanuel-in-promoting-new-immigration-effort.html;United States;38.0;-97.0;0.0;neutral
refugee camp is not,” Salvini wrote on Facebook on Monday morning.;http://www.bostonglobe.com/news/world/2018/06/11/italy-new-populist-government-turns-away-ship-with-migrants-aboard/quPPgK1kE2bAIV8cLbX92K/story.html;Italy;42.83;12.83;0.0;neutral
refugee camps is a direct consequence of the delay in finding a lasting solution to the conflict in Western Sahara.;http://www.spsrasd.info/news/en/articles/2018/06/09/15864.html;South Africa;-29.0;24.0;0.033;positive
refugee camp is located in the Al-Tanf district in Homs province and surrounded by opposition militants.Jordanian authorities did not let them into the Kingdom;https://www.sott.net/article/387868-Refugees-fleeing-US-controlled-Rukban-camp-seek-safety-food-and-shelter-from-Syrian-government;United Kingdom;54.0;-2.0;0.0;neutral
migrants are using North African states, such as Libya, Tunisia, and Egypt as launch points for journeys.;https://www.aljazeera.com/news/2018/06/italy-shuts-ports-aquarius-ship-carrying-600-refugees-180611053555053.html;Central African Republic;7.0;21.0;0.0;neutral
migrants are often blamed for costing U.S. taxpayers “billions of dollars.” In reality, it’s not the immigrants, but corporate and government responses to immigrants that end up costing so much money.;https://contexts.org/blog/immigration-control-facts/;United States;38.0;-97.0;0.1;positive
migrant children are being returned to Niger as countries across Europe and North Africa seek to curtail irregular migration.;https://www.unmultimedia.org/avlibrary/asset/2172/2172620/;Niger;16.0;8.0;0.0;neutral
